fixture_id	dialect	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit	source_url	heading	retrieval_date	category	expected_status	fixture_sha256	grammar_path	line_range	mode
flink-grammar.match-recognize-missing-define	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	negative	error	0e3fee8b5399c098e2da5204ebc71c4fbbfed0ece1a27f56e5d8de758d54908c	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (negative: PATTERN (A) missing DEFINE)	3062-3346	strict+editor
flink-grammar.match-recognize-missing-define-expr	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	negative	error	546e5623766fe40cf6618533199d69f070084e1c2921154a4dc3ca9933528ef3	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (negative: DEFINE A AS missing expr)	3062-3346	strict+editor
flink-grammar.match-recognize-permute	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	known-limitation	valid	17d4979c8637d101c4b7983bbff16d871e0081c8a66c391c63bde2bfb7249e46	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (PERMUTE known-limitation (structural))	3062-3346	strict+editor
flink-grammar.match-recognize-recovery	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	recovery	recovered	88dea17b451dea1df6827be80db5f5f0d15afcdd53f53ae9d7d99f8a53c558df	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (recovery: unclosed MR + trailing SELECT own statement (T-11-24))	3062-3346	strict+editor
flink-grammar.match-recognize-skip-last	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	9a58d4a1f0453783ae6898268b39316a9233e17e3808d726f0e4b8ce26122f96	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (AFTER MATCH SKIP PAST LAST ROW)	3062-3346	strict+editor
flink-grammar.match-recognize-subset	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	known-limitation	valid	d7218cfda8dffee7a636730adb71c5de9afec81441bc01344ced5c0772c1e5b0	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (SUBSET known-limitation (structural))	3062-3346	strict+editor
flink-grammar.match-recognize-within-interval	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	MatchRecognize	2026-08-07	planner-prerequisite	valid	aa7baaf0f8849104968c624e947a5a6fd55a078520ddaca03e42747938f83e57	Parser-calcite-1.36.0.jj:3020 (MatchRecognize) (WITHIN INTERVAL literal)	3062-3346	strict+editor
flink-grammar.named-arg	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	NAMED_ARGUMENT_ASSIGNMENT	2026-08-07	positive	valid	e88bddb39ee03f40452354f5f5b589cd20eb1bd17a2d5e403b89b18999cc9772	Parser-calcite-1.36.0.jj:8794 (NAMED_ARGUMENT_ASSIGNMENT)	8794	strict+editor
flink-grammar.reset-option	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlReset	2026-08-07	positive	valid	6a5293b5353ad7765170895d08a53549deff3614dd81914307d8adad4a473fc9	parserImpls.ftl:3294-3333 (SqlReset)	3294-3333	strict+editor
flink-grammar.row-ctor	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlRow	2026-08-07	positive	valid	fbb898605a09481006608055134e3dd0407ace40574df633f1f7dc3f5f2ede4c	Parser-calcite-1.36.0.jj (SqlRow)	7779	strict+editor
flink-grammar.select-cte-join-agg	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	QueryOrExpr/WithList	2026-08-07	positive	valid	46c73596f671a44e66bd0d79d1cf67b3d58c55c972673ab17c75d0e01981cfe0	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/WithList)	3395-3406	strict+editor
flink-grammar.select-incomplete	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	QueryOrExpr	2026-08-07	recovery	recovered	c18b22e900330ba124d5b67842c4795bc915d3a200e8444b5c60a5e0ab24c820	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr)	3395-3406	strict+editor
flink-grammar.set-except	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	QueryOrExpr/CompoundQuery	2026-08-07	positive	valid	c9718811bcd99264dde07425fbdd748c62d8f485841c0a3eac9d831aba1dff39	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406	strict+editor
